Level2	G6R1_MAIN_09MAY2016_LD1	G6R3_MAIN_09MAY2016_LD1	G6R1_NF_09MAY2016_LD1	G6R2_MAIN_09MAY2016_LD1	G6R4_NF_09MAY2016_LD1	G6R2_NF_09MAY2016_LD1	G6R4_MAIN_09MAY2016_LD1	G6R3_NF_09MAY2016_LD1	G6R1_MAIN_31MAY2016_LD1	G6R2_NF_31MAY2016_LD1	G6R3_MAIN_31MAY2016_LD1	G6R1_NF_31MAY2016_LD1	G6R4_MAIN_31MAY2016_LD1	G6R2_MAIN_31MAY2016_LD1	G6R4_NF_31MAY2016_LD1	G6R3_NF_31MAY2016_LD1	G6R3_NF_20JUN2016_LD1	G6R3_MAIN_20JUN2016_LD1	G6R4_NF_20JUN2016_LD1	G6R2_MAIN_20JUN2016_LD1	G6R4_MAIN_20JUN2016_LD1	G6R2_NF_20JUN2016_LD1	G6R1_MAIN_20JUN2016_LD1	G6R1_NF_20JUN2016_LD1	G6R2_NF_12JUL2016_LD1	G6R4_NF_12JUL2016_LD1	G6R4_MAIN_12JUL2016_LD1	G6R1_NF_12JUL2016_LD1	G6R1_MAIN_12JUL2016_LD1	G6R3_MAIN_12JUL2016_LD1	G6R3_NF_12JUL2016_LD1	G6R2_MAIN_12JUL2016_LD1	G6R1_MAIN_01AUG2016_LD1	G6R4_NF_01AUG2016_LD1	G6R2_NF_01AUG2016_LD1	G6R2_MAIN_01AUG2016_LD1	G6R4_MAIN_01AUG2016_LD1	G6R3_MAIN_01AUG2016_LD1	G6R1_NF_01AUG2016_LD1	G6R3_NF_01AUG2016_LD1	G6R1_MAIN_22AUG2016_LD1	G6R3_MAIN_22AUG2016_LD1	G6R3_NF_22AUG2016_LD1	G6R1_NF_22AUG2016_LD1	G6R2_NF_22AUG2016_LD1	G6R2_MAIN_22AUG2016_LD1	G6R4_MAIN_22AUG2016_LD1	G6R4_NF_22AUG2016_LD1	G6R2_MAIN_12SEP2016_LD1	G6R2_NF_12SEP2016_LD1	G6R1_MAIN_12SEP2016_LD1	G6R3_NF_12SEP2016_LD1	G6R4_MAIN_12SEP2016_LD1	G6R3_MAIN_12SEP2016_LD1	G6R1_NF_12SEP2016_LD1	G6R4_NF_12SEP2016_LD1	G6R3_NF_03OCT2016_LD1	G6R4_NF_03OCT2016_LD1	G6R4_MAIN_03OCT2016_LD1	G6R3_MAIN_03OCT2016_LD1	G6R1_MAIN_03OCT2016_LD1	G6R1_NF_03OCT2016_LD1	G6R2_NF_03OCT2016_LD1	G6R2_MAIN_03OCT2016_LD1	G6R4_MAIN_07NOV2016_LD1	G6R2_NF_07NOV2016_LD1	G6R1_MAIN_07NOV2016_LD1	G6R1_NF_07NOV2016_LD1	G6R3_MAIN_07NOV2016_LD1	G6R2_MAIN_07NOV2016_LD1	G6R4_NF_07NOV2016_LD1	G6R3_NF_07NOV2016_LD1
Amino acid metabolism	241.8651935899101	252.07992401328704	44.751182611958086	189.0053994839184	246.64468033852995	255.3064232097581	230.3748974799637	129.5825945300992	242.17433643894324	245.1283696235284	244.70920591417035	262.0015606824301	238.16681522262456	239.31810033004373	233.57812480373494	240.2470865706718	230.4423539580189	234.36767928238433	214.97021773477005	228.819896969945	211.35961832593551	223.24776807280892	240.13224952033204	247.26563988424596	251.70119949445734	220.4430996529822	232.3414703894852	243.49145099187302	241.25161987180707	252.4703364135001	221.92727712211646	246.80621585435534	214.38870135578964	199.79206200017788	211.41796342353067	207.9808438902526	209.19716754195758	211.79574680604267	216.10173461557517	193.9467685847235	203.0059096057123	208.71959661711466	199.69043679687155	205.74154878430724	202.3309348452241	203.2627036790682	202.6301063043672	205.98117828921747	203.8925689949415	207.2364524813312	200.59224455267054	203.59977413816978	199.07146499137775	199.92580607830658	202.5440441602793	203.9734590227024	208.763614322369	195.23249289245464	198.5340003552039	206.06304805003126	209.90378670689896	206.01222415667667	203.7463324829372	200.18247728127565	190.5774434196208	188.9097872041011	191.9632890452042	193.56749888084533	189.36963316984873	189.77033979033448	189.7520050734037	191.40218801956544
Biosynthesis of other secondary metabolites	57.21211341756801	0.0	0.0	0.0	60.901877363866234	79.88160075074569	88.3166211761884	0.0	74.84475157956604	40.645972108662036	110.52542439486774	81.73072901676402	77.9108135467212	19.470901142676663	105.82603241091465	55.69565472105773	89.09535949962623	91.02680700243539	97.99671981834254	105.28873567370559	98.65847302201877	103.05446067977537	73.24250906905647	112.69878306519112	115.214875470486	102.3318732236333	88.88687596110688	93.23530957747478	111.88640386064871	97.41035683976861	86.7201706772259	96.81570226609722	81.47257482245747	91.13707132863706	99.29852757423645	97.77363798017667	82.9646005546015	81.19089551212431	82.86303049861239	90.1326112772982	94.35300854145493	80.73053932948486	93.07135245443295	97.30300346963362	93.86607975676861	95.1009045097507	93.76912712988185	94.3841574647679	95.39539419532613	80.0081972820528	92.48738925913881	94.64455679527593	94.08304936863718	93.32569414075247	96.44769703324162	94.42915778453846	81.2716501486826	90.7339360206513	93.43308301912738	96.11348204409886	78.6473426677696	79.20655051690781	95.36101964669436	93.9851536239847	89.32143087166604	89.0357914756995	89.5205499425958	89.78864178843529	88.69951086827237	88.58542027298131	88.66238793664724	89.57116897080016
Carbohydrate metabolism	284.78406370445464	248.46321405596152	89.38959762967656	254.48271331651438	267.9927452027446	295.9285196876728	271.21602629303266	174.31918058004538	285.81464757888943	274.3453554841277	276.8113143185036	296.8693349443275	279.05707922459345	304.7423090762895	264.6490792032792	283.1223504506446	264.5345878781555	274.7524077787229	249.81040314911584	261.42499273989694	241.62515556063343	255.80506473525458	272.8301721980164	286.56891946288266	286.07046036661876	254.07162047641657	263.5706448166035	277.787558027297	274.76575727904276	280.85158581649785	256.26942836487785	284.89136450125466	247.2099844919615	229.1793733546391	243.32485219442566	240.23388138919404	240.44023431467468	242.64313628741368	249.58886069421027	224.58024446592302	236.05634852063292	240.50098036718157	230.46221411529845	237.76079288256636	234.52264870868612	234.00025634188347	232.8736477777179	237.78511037098968	234.76904518376836	238.1123261086162	230.49197828691277	234.05388950770126	228.02978679130536	229.88944125061232	233.31678596502672	233.91762070269272	239.92536739789492	224.82167706870655	228.31783911498889	237.0277044987475	241.70491032020686	236.03179098631568	234.33262828347551	230.42600349912865	219.73343672937065	218.41783799613103	221.35667299445797	222.4128746152287	218.65409305617516	219.0362866981695	219.16943747448744	219.8423335781264
Cell growth and death	33.981340755470924	0.0	0.0	0.0	0.0	38.635796167533265	37.33277975682726	0.0	42.498925219556995	0.0	37.73888408555542	38.16233917838015	39.82866053140408	0.0	37.862409720259784	37.885034013978405	39.50362054806371	34.63847307652237	33.74089132140882	37.074401393294316	34.673206198719676	34.30628501943886	0.0	38.64877508400174	37.770248026231044	34.25951348987054	34.66556354322441	36.561958384235844	37.29519515559905	0.0	33.46912793243248	0.0	33.57347359772604	31.515224411701357	33.21426164070879	31.752747309211586	32.271259430296126	33.56142213928194	34.36110612968016	30.805365594253495	31.992083358733353	31.723854220076753	31.157871310163152	32.18818071058988	30.880310432107052	31.02710555833135	30.57867400495267	31.675471014540072	30.726185260282076	31.519075312535715	30.247670687778715	30.9467362517766	29.865101102745967	30.154035277397025	30.832058901466	31.146257048664573	32.293798218972604	29.525938677086295	29.97983334014164	31.353697320433803	31.417122807503986	31.808001824604915	31.062037141229634	30.42205839610855	29.36300304928385	28.73210213980894	29.186015229070808	29.281181787262113	28.851001856807933	28.79119272753783	28.767064493123225	28.84428620693728
Cell motility	0.0	0.0	0.0	0.0	0.0	18.26728455021256	17.988677694323506	0.0	17.90419753022727	0.0	18.724318397416443	19.101092463324587	19.69822412989687	0.0	19.651805538525043	16.93156997981134	16.962639124553355	18.31274000391985	16.480345220440054	17.376784834134384	16.84385988622716	17.55457083480697	18.172527421006063	19.376877693751794	18.358426150461	17.42309539802	17.30200271688401	17.920465830623193	18.17087884639283	18.846893887651337	16.966262836956776	18.145467016624927	15.926323037351859	15.520624883399169	16.65159713176139	15.83971732129738	15.686824504529861	15.844435412741348	16.723503388551602	14.81178877098086	15.06232912446586	15.331349314722068	14.829769305519287	15.278878189447502	14.892136064588662	14.80658214868206	15.009529170888996	15.30365536583607	15.048651822134655	15.345578594270233	15.353303320079485	15.115670046618439	14.934335016573659	14.803520345650428	14.887452154581108	15.265689732769268	15.748363348685329	14.735085154310363	14.952266427786556	15.41332775995883	15.950421219384353	15.498340657119863	15.291631285985071	15.117767427895627	14.583822067837419	14.31657080705683	14.697331112702235	14.749969464741161	14.383511107096353	14.318363781452632	14.252720588034189	14.184146246748636
Cellular community	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.6309092913474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.992427113307235	0.0	0.0	15.752790708850439	0.0	0.0	15.202168869821307	0.0	14.16661805085123	15.197116125388739	0.0	15.555067472016432	13.285708080040783	13.516454817412265	14.202994391062292	13.705312571856249	13.192236425921546	0.0	13.456406612674277	14.444238979474763	13.751592214218757	13.709168727975111	13.150883050521164	15.781462708745888	13.234699513523372	14.260626103547994	16.035722751999902	0.0	15.411846240074231	14.345344157422376	15.31229723734859	13.715263424696158	13.624549283579784	14.081521000548328	13.631425207945739	14.211616893494877	15.15948892540403	13.321829731854045	12.94279478343748
Digestive system	0.0	0.0	0.0	0.0	0.0	19.01341309982592	17.044742035719683	0.0	0.0	0.0	0.0	0.0	0.0	17.97938749022998	17.303244131389942	0.0	16.22154853891973	0.0	16.310107524384385	17.316260873960257	31.84076550981019	16.430773432653	17.15990035962782	17.913210934270538	18.895315010361273	16.635182131171323	17.074647427037654	0.0	0.0	17.7799070704591	32.294029354699745	18.634274598046108	16.604330385783044	31.4248533476662	16.505138894322734	15.628972509516483	16.470703942925073	15.84026091694314	17.02340380530734	31.187908680327318	33.2967953838279	16.46072136921776	31.7807378766544	33.67654575855974	15.38858376751116	16.493252177022843	31.213458383494917	16.215772418520892	33.38841168989211	16.09518412815705	33.937921663721774	32.66046975564901	30.798174631638027	15.413690661721791	16.210917024865658	15.904421294667316	32.730196292800514	31.146346186229778	46.40125576028857	31.70162613759861	16.425647220556343	31.897936381364932	15.75064637201378	32.045969978105994	48.12140233555509	14.630670651636425	31.234091822076056	31.28829609549101	14.599159997816043	29.943098889270928	33.33996260252665	50.125703265122
Energy metabolism	126.0948943140397	83.09968309939472	45.254487488344054	84.82008956205269	103.66969706269022	137.40369397873357	123.69342573128347	86.06966885412338	132.43880926351216	116.95568960641315	129.77956567691194	139.3706623758008	111.15554459394082	140.3307292400188	126.0353365542745	127.75751422738317	120.64123626413212	125.51811031615883	116.18531852851504	122.55656914216519	114.33940363841921	119.04786103003198	126.9985152363538	133.4267254980948	132.30482627158955	118.22214575716654	121.43293383446797	130.2171615975349	127.62617715504398	129.64714888685185	118.03663932888588	111.50916234200777	113.7554720695383	106.95291376795029	112.11440309501582	110.99201822488153	109.7417341830001	112.23126792559857	115.59770571843123	103.35376604813744	106.91005857237663	109.00712315926326	104.5129380921974	107.61864793201555	107.04775852653138	106.45702216334678	106.10499262626708	107.64527401057168	106.91670566355334	108.19676484494454	106.18384216668548	106.60582462526304	104.447127747347	104.85181016612998	105.86689452681759	106.8899658770023	110.255499509964	103.32988339246852	104.99303162958367	108.9220410555637	111.52833749091202	109.34187444233339	107.68300977098784	106.75534673593549	100.82310077826668	99.93033987334238	101.63386798666313	101.98813523424786	100.27583057615026	100.23314479255548	100.0168531742551	100.49054847975614
Folding, sorting and degradation	17.956399647277312	0.0	0.0	0.0	0.0	17.82310126502012	16.34930026470644	0.0	0.0	0.0	20.06167903578374	16.670719102756745	17.309334295566536	0.0	0.0	17.924315742985446	17.48825342751672	18.5414630242737	15.997183263661968	0.0	15.881451079767087	17.385951885064667	16.48046829052101	0.0	17.621264272108586	17.308695383828972	20.291031658260007	0.0	16.597429247050734	0.0	16.93218191066821	18.461860112410236	17.09923410603316	32.981388465594804	0.0	16.37978551983483	16.91919459336289	16.043462918332313	16.51820213658022	14.251389200034684	16.98608699600929	33.655207951681746	32.07089937991968	17.897459561420536	32.00351918488926	33.526302874052305	33.233062597829594	33.240697436422224	32.93449328845627	32.71195641916941	31.247297115837696	32.887709899213945	30.896151542277373	32.11153463612242	31.98618110559649	33.7701685700545	32.216195544217186	30.039504295731643	30.48719559403328	31.174750614301914	32.955268940575905	32.528191312118516	31.991854989808544	32.56060835207751	28.92952861302497	29.247100992744492	29.53291924654941	29.934590438504806	28.42557014082248	28.834985699440416	29.397738215776855	30.45194303032357
Global and overview maps	53.887171603335204	59.80012726959789	46.671886568583076	42.765049395782995	57.80998144974106	39.17881902506979	52.29718174189608	44.58996178064092	55.126486506520465	39.89461740692491	54.6380788693531	57.91898823554367	53.98943240655772	40.069730647749864	35.45240121438858	55.63768855305125	53.30134907086851	53.38857776075989	49.43280109508912	52.99556379723943	48.916790255488124	51.002269649753	53.09502295931965	57.138855645269444	57.671852701800375	50.84328980324221	52.37125043659207	54.80242709970509	54.911188056319176	36.98416976873646	50.19283923441402	55.5093957892655	49.01945894007949	62.44911067781138	65.53070638550852	47.64958709388184	47.34104195082162	48.28229120179083	49.150999567556255	44.04594893601852	45.76740280250434	47.153508850823684	61.103772577167135	67.39532986147304	63.07783798213581	63.157425452272776	62.51070064588927	46.297101159117645	63.899863618760136	46.66213388954772	61.67753923941564	62.74987876818945	61.964804592736726	62.53298293806073	63.16513771811849	63.08351788842205	47.29190945792312	60.72141573237133	62.36202834114212	46.4836477432427	47.0720775078745	46.506276062102366	63.41323999770128	62.952317936737636	59.0075402864285	60.208039194574376	60.47086024118213	61.01249097544178	61.05731915918942	59.795365502480465	60.321014540961315	60.517231591479344
Glycan biosynthesis and metabolism	38.59628077021317	0.0	0.0	20.395499135770788	61.939288554965394	59.674259029927086	75.2410199419804	20.397124959136374	58.20168999490718	40.4600250028524	76.96904488402001	79.12951731388668	93.38084754688172	78.05055586292929	57.27277903041824	77.89538761337019	70.3815243534884	92.53813493201481	86.41132383205255	90.12406757920719	82.3991927718335	86.70274880829474	74.99336505841951	78.24835631659147	94.24373030766495	88.47871396950805	89.23238788701782	92.82612441450797	74.75400329416514	59.10864726645646	89.74201971812077	80.028412414479	84.03144242027854	79.97670979536281	83.04861272587304	82.01820819449567	83.88517417453696	82.90829114585503	85.93140184784953	76.88330101485528	78.33890192182365	80.62952816237402	77.71476242806527	79.37969548021366	78.10763157324423	78.4534641202523	78.1396030153383	79.96459680279622	78.62431357542889	79.52298338350425	77.06716996279606	78.33385475182207	76.81133457579783	77.40286281000847	77.7447426173919	78.26588942803467	80.66750908896502	76.80337229984322	76.91168177748867	79.87064943098062	80.43010849858352	79.29064195882793	78.18946263934171	76.77798353268217	74.8348885284246	74.36202681114102	74.5416363892697	74.72807539817614	74.47958877019703	74.25952401724646	74.6565076848537	74.48958720952149
Lipid metabolism	77.0539455321947	81.49257603947403	0.0	85.65270847723235	102.19998627490811	56.05229245625567	89.37073086340918	20.907950582902366	121.31385731550382	59.25400090284256	132.9962531988204	121.13458336183409	92.93698520075732	102.6824680966101	127.55100583348901	135.6643924705735	127.22310057069032	127.66236976246442	119.47822767743519	124.09686644834153	113.95688542547188	120.06258177521048	128.16234147319642	132.16924303425068	136.3813901964895	120.03897385765688	109.3393785858939	114.61194764414921	126.73554832767442	118.45768285717917	126.2688048469769	114.821826516608	117.60972556031673	109.6631673773415	117.34497501492636	116.41426247374424	115.52405292849802	117.79414513199873	120.70550140334939	105.7490022549504	111.31676315922968	115.1629292884098	109.71142704481967	114.30356903744891	110.59587938355905	111.92827306265136	111.5393989792763	114.16983821742933	113.24849929757923	117.2483266873648	111.42904706922893	111.92373488691399	110.36006706413673	127.06619818837977	112.51510198497361	112.64845794265139	115.48941005584297	108.87794707108307	109.75867175072824	113.90076240891	115.78499022582508	113.15861464697939	112.75681367604354	110.00664965790956	106.21837436740194	104.7590115293613	124.26626588851967	107.14830594557809	105.53534852021575	105.02831137491738	105.7540657335371	105.71301244945832
Membrane transport	17.733434094391	0.0	0.0	0.0	0.0	0.0	17.635185778734105	0.0	0.0	0.0	18.43798166397967	0.0	18.717204193207035	0.0	17.092456135759146	17.695594693350447	17.660432278514577	17.94378230068489	16.741596346058145	17.762425521441152	16.141638998245703	16.424547392213533	18.65162359252529	0.0	0.0	17.453280307746503	18.080746754910386	0.0	18.11885354249454	18.11840357926673	17.171303589610677	19.026783394542285	16.311647360204248	15.612301648518216	16.28612898943685	16.555132514866354	15.610137902428734	15.84424620237782	16.971128011364577	14.809092462726776	15.725750501978794	15.286325636399482	15.028469574606838	15.37802979898032	15.45766324329675	15.071472242618638	15.11640622468978	15.607929595817962	15.12271924539701	15.539453930587653	15.278497607656018	15.222553341497594	14.835988548490183	14.789807181907518	15.117128850245583	15.245950050743343	15.824679377458212	14.721258315765008	15.177952075940768	15.323509389708644	15.973323361655083	15.613589092171171	15.350371556912995	15.294732454671092	14.535084046774713	14.300368803638472	14.595318722513207	14.650278284321868	14.343632627910871	14.48823230149077	14.302719084716314	14.38333803851229
