Level1	G5R1_MAIN_09MAY2016_LD1	G5R1_NF_09MAY2016_LD1	G5R2_MAIN_09MAY2016_LD1	G5R2_NF_09MAY2016_LD1	G5R3_MAIN_09MAY2016_LD1	G5R3_NF_09MAY2016_LD1	G5R4_MAIN_09MAY2016_LD1	G5R4_NF_09MAY2016_LD1	G5R1_MAIN_31MAY2016_LD1	G5R1_NF_31MAY2016_LD1	G5R2_MAIN_31MAY2016_LD1	G5R2_NF_31MAY2016_LD1	G5R3_MAIN_31MAY2016_LD1	G5R3_NF_31MAY2016_LD1	G5R4_MAIN_31MAY2016_LD1	G5R4_NF_31MAY2016_LD1	G5R1_MAIN_20JUN2016_LD1	G5R1_NF_20JUN2016_LD1	G5R2_MAIN_20JUN2016_LD1	G5R2_NF_20JUN2016_LD1	G5R3_MAIN_20JUN2016_LD1	G5R3_NF_20JUN2016_LD1	G5R4_MAIN_20JUN2016_LD1	G5R4_NF_20JUN2016_LD1	G5R1_MAIN_12JUL2016_LD1	G5R1_NF_12JUL2016_LD1	G5R2_MAIN_12JUL2016_LD1	G5R2_NF_12JUL2016_LD1	G5R3_MAIN_12JUL2016_LD1	G5R3_NF_12JUL2016_LD1	G5R4_MAIN_12JUL2016_LD1	G5R4_NF_12JUL2016_LD1	G5R1_MAIN_01AUG2016_LD1	G5R1_NF_01AUG2016_LD1	G5R2_MAIN_01AUG2016_LD1	G5R2_NF_01AUG2016_LD1	G5R3_MAIN_01AUG2016_LD1	G5R3_NF_01AUG2016_LD1	G5R4_MAIN_01AUG2016_LD1	G5R4_NF_01AUG2016_LD1	G5R1_MAIN_22AUG2016_LD1	G5R1_NF_22AUG2016_LD1	G5R2_MAIN_22AUG2016_LD1	G5R2_NF_22AUG2016_LD1	G5R3_MAIN_22AUG2016_LD1	G5R3_NF_22AUG2016_LD1	G5R4_MAIN_22AUG2016_LD1	G5R4_NF_22AUG2016_LD1	G5R1_MAIN_12SEP2016_LD1	G5R1_NF_12SEP2016_LD1	G5R2_MAIN_12SEP2016_LD1	G5R2_NF_12SEP2016_LD1	G5R3_MAIN_12SEP2016_LD1	G5R3_NF_12SEP2016_LD1	G5R4_MAIN_12SEP2016_LD1	G5R4_NF_12SEP2016_LD1	G5R1_MAIN_03OCT2016_LD1	G5R1_NF_03OCT2016_LD1	G5R2_MAIN_03OCT2016_LD1	G5R2_NF_03OCT2016_LD1	G5R3_MAIN_03OCT2016_LD1	G5R3_NF_03OCT2016_LD1	G5R4_MAIN_03OCT2016_LD1	G5R4_NF_03OCT2016_LD1
Cellular Processes	59.95921247662316	61.935567015471534	73.69772642532497	20.871767165176788	18.742417439023548	61.59251791713251	0.0	19.307509651276675	38.87155922975054	75.07413012889167	0.0	0.0	18.44128458870048	0.0	0.0	0.0	71.30613400891488	53.21474499791477	54.25353511111909	38.86675448035925	0.0	69.07591845978217	76.26341227009846	0.0	38.559932143873354	75.64109407600134	75.70039876759196	77.52614222089375	36.66276649148118	72.6412054733027	37.3248837050745	18.514595452463798	88.21115535189047	81.60374744107425	82.33616096645858	84.47607162461034	84.44586618989678	85.08027644785122	69.30317934873793	70.95097498763538	77.23608821228413	62.46902754574736	77.60158845901056	64.26142085522795	76.75255335403114	62.407861542724135	77.96399891178697	85.04891840195134	75.57729971799452	76.20283352049005	76.65535000924642	76.6514323493542	76.3447943305027	75.45896682728548	74.59273708084882	76.96480119371425	75.23829676333723	76.01806139938354	75.10394808244945	76.28929427496296	75.88755231413532	75.4825586671669	75.03043778124842	74.55214436870827
Environmental Information Processing	21.491327423350278	21.890503300420498	54.11195291974549	23.888570451233964	23.956882894401218	21.494231661738016	22.949858924611995	58.86965751405394	18.85066031817134	37.75869897103113	23.21017232887811	24.75257844104823	25.551461838892756	0.0	0.0	18.75360677168826	35.63832102584061	70.68924487093996	39.40083525622853	20.01507704175578	43.9835067498053	50.39749975790622	37.732177880617414	22.84188818062174	39.41957307321452	36.89167523723157	19.381639173583785	53.77354310673049	53.09035843296038	51.29702781342563	38.06309455414336	21.114758130785678	65.93410793627835	80.22128254424588	83.58618606689491	83.49592705917483	84.49213650020877	65.36759182688645	51.40834480209496	52.89948089252043	76.53340413980504	46.038815121377354	77.68325791111617	48.5520380056809	78.02411735368202	46.81672646572929	80.6378858790908	87.93911368811305	76.15004063017224	77.85128488115159	78.41415242945668	76.35969328864229	77.26589917432403	76.25990145776353	74.60228810490388	76.83787098687974	76.14586005594867	76.89532935460707	75.60056687019072	77.9763924389013	77.00041170065367	76.98312728380475	75.9942244551971	74.49673972555804
Genetic Information Processing	21.183195399915213	22.35313912783089	197.63964206039392	23.51822187396651	95.82464837788758	37.57354931422583	20.2137421763022	100.22370807772701	102.08655552542665	92.53210362764989	42.0112865752121	0.0	0.0	0.0	0.0	22.98971510624652	194.25170615447988	146.2261227773996	35.70659309370176	95.6505989116641	60.887160068063295	159.74213781389878	125.5144000959201	38.44768330885708	92.93481916138614	145.31254494333484	57.446353906923996	91.02681935072566	161.59874285256336	165.66916410703354	132.79931254425088	73.20384190832142	160.20738804628337	169.0839779510522	198.18773919149174	206.67382977029632	188.22628860769032	153.6097233089482	194.93054993458367	181.89773422620308	190.51386278758937	172.42467455647514	187.38595130778327	189.93002512858004	185.00924067393976	186.76774295448632	182.84446880325973	197.02356937340443	183.4087817080307	188.0380309134817	186.88113236539706	188.12635188219963	187.2328534554831	183.3560222582047	183.37638771014812	187.2344628436239	182.12895358526526	185.35166316115595	182.8196090785169	183.88217483870264	180.9985824065782	184.02503380339863	181.6057762931907	182.5558296435787
Metabolism	1192.50010058728	1472.2052187452714	1666.3440875796941	1030.5785998294996	510.94783075205515	1568.8533701833555	982.9699953631809	1473.3542330216444	1132.7633059358798	1695.5791703871382	708.3293561399807	589.4326582737477	384.5405742674397	287.0057220607865	419.28880798554576	549.0186971284986	1572.318447913242	1623.9995929638335	1382.7253659374053	1283.0015999238274	760.8744344620695	1550.0015191986881	1608.496129429825	1373.4590347940741	1671.9050204849716	1641.6532409800081	1538.3913215053622	1574.584150975672	1537.1253948727817	1614.5741190041497	1652.7974908659853	1485.3099484835773	1673.0510461538495	1639.6088300808203	1635.5937473559895	1690.3655544585486	1659.4194653651446	1686.1640003355367	1627.4567220183346	1681.674184844708	1554.764253583046	1541.2330015687114	1540.4641895724699	1593.4649671764178	1533.6391758131601	1544.5995848141229	1535.9620841172068	1618.4941286033288	1501.6952218712204	1519.3418352918495	1530.7685462195263	1551.6863698969341	1518.0926658967746	1498.7319231806127	1490.5143075475503	1547.7305419764505	1489.86106723489	1494.1617994895848	1485.685205201589	1495.3100922420201	1484.5974860310498	1497.707341139481	1490.317653856454	1489.0323411488434
Organismal Systems	0.0	0.0	38.22553638793699	0.0	17.898316376264646	0.0	0.0	16.572518512835938	0.0	0.0	18.26789116244688	0.0	0.0	0.0	0.0	0.0	37.46177753496026	18.081423498707604	36.730566197601206	0.0	0.0	36.728627655518586	18.049939392444312	0.0	19.74171105436889	36.68797857886027	33.0618915287857	37.07976979969861	17.454645061023122	16.6230155250295	0.0	0.0	35.414336635141964	34.116060745306484	50.86237258928581	34.99276394595864	35.51834657503838	33.8108705903088	51.398792729608715	36.51192718826542	48.901488670687606	48.44749618557464	46.47439378258763	33.41476771646323	31.055130231389438	46.30443344922433	31.327212407374915	49.25668065854156	47.19844350605199	48.04449407141557	47.13506916587039	48.66947634051419	48.138662288827234	62.71595824336731	64.18746352612116	64.15509346175199	46.42797490227747	46.8711548491701	63.12622476966661	46.92274244085111	60.59699831472243	64.7213086050647	62.314877823445585	46.90068680736991
