Level1	G6R1_MAIN_09MAY2016_LD1	G6R1_NF_09MAY2016_LD1	G6R2_MAIN_09MAY2016_LD1	G6R2_NF_09MAY2016_LD1	G6R3_MAIN_09MAY2016_LD1	G6R3_NF_09MAY2016_LD1	G6R4_MAIN_09MAY2016_LD1	G6R4_NF_09MAY2016_LD1	G6R1_MAIN_31MAY2016_LD1	G6R1_NF_31MAY2016_LD1	G6R2_MAIN_31MAY2016_LD1	G6R2_NF_31MAY2016_LD1	G6R3_MAIN_31MAY2016_LD1	G6R3_NF_31MAY2016_LD1	G6R4_MAIN_31MAY2016_LD1	G6R4_NF_31MAY2016_LD1	G6R1_MAIN_20JUN2016_LD1	G6R1_NF_20JUN2016_LD1	G6R2_MAIN_20JUN2016_LD1	G6R2_NF_20JUN2016_LD1	G6R3_MAIN_20JUN2016_LD1	G6R3_NF_20JUN2016_LD1	G6R4_MAIN_20JUN2016_LD1	G6R4_NF_20JUN2016_LD1	G6R1_MAIN_12JUL2016_LD1	G6R1_NF_12JUL2016_LD1	G6R2_MAIN_12JUL2016_LD1	G6R2_NF_12JUL2016_LD1	G6R3_MAIN_12JUL2016_LD1	G6R3_NF_12JUL2016_LD1	G6R4_MAIN_12JUL2016_LD1	G6R4_NF_12JUL2016_LD1	G6R1_MAIN_01AUG2016_LD1	G6R1_NF_01AUG2016_LD1	G6R2_MAIN_01AUG2016_LD1	G6R2_NF_01AUG2016_LD1	G6R3_MAIN_01AUG2016_LD1	G6R3_NF_01AUG2016_LD1	G6R4_MAIN_01AUG2016_LD1	G6R4_NF_01AUG2016_LD1	G6R1_MAIN_22AUG2016_LD1	G6R1_NF_22AUG2016_LD1	G6R2_MAIN_22AUG2016_LD1	G6R2_NF_22AUG2016_LD1	G6R3_MAIN_22AUG2016_LD1	G6R3_NF_22AUG2016_LD1	G6R4_MAIN_22AUG2016_LD1	G6R4_NF_22AUG2016_LD1	G6R1_MAIN_12SEP2016_LD1	G6R1_NF_12SEP2016_LD1	G6R2_MAIN_12SEP2016_LD1	G6R2_NF_12SEP2016_LD1	G6R3_MAIN_12SEP2016_LD1	G6R3_NF_12SEP2016_LD1	G6R4_MAIN_12SEP2016_LD1	G6R4_NF_12SEP2016_LD1	G6R1_MAIN_03OCT2016_LD1	G6R1_NF_03OCT2016_LD1	G6R2_MAIN_03OCT2016_LD1	G6R2_NF_03OCT2016_LD1	G6R3_MAIN_03OCT2016_LD1	G6R3_NF_03OCT2016_LD1	G6R4_MAIN_03OCT2016_LD1	G6R4_NF_03OCT2016_LD1	G6R1_MAIN_07NOV2016_LD1	G6R1_NF_07NOV2016_LD1	G6R2_MAIN_07NOV2016_LD1	G6R2_NF_07NOV2016_LD1	G6R3_MAIN_07NOV2016_LD1	G6R3_NF_07NOV2016_LD1	G6R4_MAIN_07NOV2016_LD1	G6R4_NF_07NOV2016_LD1
Cellular Processes	51.548859816755474	0.0	0.0	56.90308071774582	0.0	0.0	72.86963757546278	0.0	60.403122749784266	76.65804036026498	18.87184927594943	0.0	75.99581957245994	72.81234590577728	79.13646961328868	76.48717007433486	35.304019394405515	58.025652777753535	71.95726457452082	69.10192114843319	71.3978632902028	73.5269971018732	67.58409559529156	82.47987982660305	73.86565500920645	73.26311814260804	36.765827894803394	56.128674176692044	18.846893887651337	66.90031822484602	69.69087186365947	68.83196399938784	66.8551078689718	68.21335454675472	64.29879997622638	66.47821487321785	66.36261282775911	76.39664544618567	80.72283786638518	78.90267641247218	62.851231644548065	63.698731484670034	74.6417274677757	77.15511694562919	77.74146331483526	77.15848421018973	74.52346614979214	77.21007880204009	60.952471802638996	75.01032226845913	75.18631536952007	75.95291071193553	74.12932537845097	75.09438911581393	74.71186622032454	75.46833342432262	62.9900907330963	78.14679220814882	75.95062914851073	76.21146088432764	78.77793121501338	79.57307662395388	74.52858057550206	72.47206625896119	72.5571598443584	72.3149262223236	72.85335131070649	71.10734060232235	71.8622351331444	0.0	72.39026500401776	70.80987966967913
Environmental Information Processing	39.65114639937933	24.907862365327	0.0	18.993068094920634	0.0	0.0	52.105833341435826	22.45676749332411	18.171474276058735	19.62410842010867	21.750086630632843	21.97326910151303	37.669924119737615	35.36005189512293	38.66682594348904	59.13912811373956	36.70164839930212	38.18328092435922	52.86622428055578	34.126041914249456	36.270490066087746	52.87147496433358	48.77218837316232	80.46384648992623	37.00614719721686	18.720540334066058	37.233647890705114	19.10286927721323	37.56179162954346	50.14417514351128	53.09199161968874	52.11515634640112	48.19568886154893	49.21568349595972	48.15893726858572	48.94968480478002	48.48275013467904	75.58816502289245	79.69406002390322	78.58838561640174	47.81338332416668	47.61512057369811	72.71035692083326	79.04639232801593	75.33718302800168	76.71654553658458	73.47341790009064	75.68494980827761	47.62394935746774	74.73597397822266	74.68331705296696	73.85211310613217	73.26892060757426	73.86261475878806	74.45767823811101	72.8292368186469	50.58399596929068	78.62041023341847	77.27999878785188	76.00932112772004	80.21842138522685	79.85373779015117	74.86248429446802	72.24432033999265	72.71482361449353	72.07455124626838	74.30593208190892	71.26286557212501	72.02352516499016	0.0	71.53705182116535	70.52726374041575
Genetic Information Processing	67.64869482582685	0.0	22.13831621890788	148.84635930519119	95.61893199772764	20.6146870315188	194.2562957080879	19.88312511445816	109.52054416606262	103.24232898803075	75.53461374188512	19.965564378357904	111.21066830970855	55.01043456889706	162.3696943209333	176.73125229647698	161.17864679759785	112.89007536695163	151.76479727251098	171.86531710301483	146.47351490581178	172.3667085355013	165.28967792209485	177.96340237926321	143.79958369652792	105.79611431156926	145.7695375398732	146.75188705594817	111.23671812965618	167.53452709618864	191.95844199753952	187.84428820836092	164.77053549064442	163.6901252681564	158.80602297335605	146.1865196016252	158.93682115601143	149.23794394720025	172.41596796448076	187.58926664871447	156.62416361179862	158.08676397821256	189.21391416878168	171.73961570861144	174.32080725755154	168.95047193025437	188.58917509614605	175.48361546578724	187.3766995981036	170.7098753580412	189.59228127263555	193.77068769215458	188.33958704789455	191.58482684222503	187.34109421300332	192.24220604083138	201.38730956385785	193.17621763874078	189.05881449036403	189.64918453588797	192.01550063895735	194.47503042849942	185.27215516164853	183.70934310937687	178.81798515037306	179.90362735609543	174.67935134098752	174.75059453892618	174.49622201558893	0.0	176.29119645051532	174.81261860841929
Metabolism	1358.9060900870209	332.9998119251937	866.3849850248631	1536.6497051723588	1047.4257791726513	625.9605057245532	1579.6655360667992	1304.2624371595905	1565.5231423312898	1649.7542282939373	1376.0301183520119	1222.7403063338193	1700.3852577044936	1664.485455349041	1576.2386292002132	1614.100375292067	1667.2128384857015	1670.2714367522308	1688.615041272464	1632.5567944125241	1681.9735226823618	1640.6488277529024	1590.746055674017	1645.9527040188734	1690.475569350895	1628.6000495848084	1712.5849967469878	1851.1899239558777	1569.7283370420562	1617.430949624983	1656.3297484731684	1642.6505220280596	1590.8605540651834	1630.1910879559891	1570.0835609923158	1627.8495244803005	1533.0233866756628	1470.0103857538745	1565.1492502688916	1531.8241283809705	1540.5385628368654	1578.979074681608	1549.3802273113924	1549.918890356643	1543.7687309676355	1527.4175672891963	1545.9217297333673	1553.530455841701	1537.0871624365893	1549.1752539361826	1558.512764098746	1548.2606947097925	1542.7611502646157	1546.9390990741629	1518.5140621315738	1554.5586452326017	1565.4780273728757	1538.2756143355418	1532.6711350698592	1560.0842663403682	1558.990668475187	1564.5856949858332	1519.937415386237	1494.1975839667866	1490.8739633892399	1479.8596737876169	1454.4452399886457	1447.7809746306855	1454.6509753270916	0.0	1461.4112141776832	1454.3526380542294
Organismal Systems	0.0	0.0	0.0	19.01341309982592	0.0	0.0	34.99033938461803	0.0	19.80504572666335	0.0	17.97938749022998	20.06246338968466	0.0	19.574787514170055	18.29676225385136	35.003030225512774	17.15990035962782	17.913210934270538	34.531067930867025	33.16096690423793	19.358450246595787	33.28795130539884	49.29011261085261	33.07428670814623	0.0	19.292636268932636	42.12701360652191	36.70815041909407	17.7799070704591	49.15800536228055	33.624346495284684	33.26192208638811	33.34958234641978	33.46248477960975	31.478590163414765	31.785120590752772	31.624104249571978	46.05694080402425	32.76876732664688	46.645438675061726	48.82447807291609	50.19410394957367	32.12856673180113	31.490367989630037	32.69694829676705	46.98467586615223	46.696007289888826	32.26178014333583	49.35080856365711	32.31681474909536	49.51394778922365	31.78204603946086	30.906479561067002	48.26891346873934	45.93493298751513	31.73206129301878	32.6549039896218	47.95772235246703	47.67453070373948	31.622949125840897	47.69395478483422	48.969729687411835	61.56696845352916	46.293237112570544	46.21948753020388	46.35489262827892	44.44410915122462	29.16930314670016	29.175393679088124	0.0	62.93543282904133	48.04594442199179
