Level3	G5R2_MAIN_09MAY2016_LD1	G5R4_NF_09MAY2016_LD1	G5R1_NF_09MAY2016_LD1	G5R2_NF_09MAY2016_LD1	G5R4_MAIN_09MAY2016_LD1	G5R1_MAIN_09MAY2016_LD1	G5R3_NF_09MAY2016_LD1	G5R3_MAIN_09MAY2016_LD1	G5R1_MAIN_31MAY2016_LD1	G5R4_MAIN_31MAY2016_LD1	G5R4_NF_31MAY2016_LD1	G5R2_MAIN_31MAY2016_LD1	G5R1_NF_31MAY2016_LD1	G5R2_NF_31MAY2016_LD1	G5R3_NF_31MAY2016_LD1	G5R3_MAIN_31MAY2016_LD1	G5R4_NF_20JUN2016_LD1	G5R4_MAIN_20JUN2016_LD1	G5R3_NF_20JUN2016_LD1	G5R1_MAIN_20JUN2016_LD1	G5R3_MAIN_20JUN2016_LD1	G5R2_NF_20JUN2016_LD1	G5R2_MAIN_20JUN2016_LD1	G5R1_NF_20JUN2016_LD1	G5R4_NF_12JUL2016_LD1	G5R2_NF_12JUL2016_LD1	G5R2_MAIN_12JUL2016_LD1	G5R1_MAIN_12JUL2016_LD1	G5R4_MAIN_12JUL2016_LD1	G5R3_NF_12JUL2016_LD1	G5R1_NF_12JUL2016_LD1	G5R3_MAIN_12JUL2016_LD1	G5R3_NF_01AUG2016_LD1	G5R4_NF_01AUG2016_LD1	G5R2_MAIN_01AUG2016_LD1	G5R1_MAIN_01AUG2016_LD1	G5R2_NF_01AUG2016_LD1	G5R4_MAIN_01AUG2016_LD1	G5R1_NF_01AUG2016_LD1	G5R3_MAIN_01AUG2016_LD1	G5R3_MAIN_22AUG2016_LD1	G5R1_NF_22AUG2016_LD1	G5R2_NF_22AUG2016_LD1	G5R4_NF_22AUG2016_LD1	G5R2_MAIN_22AUG2016_LD1	G5R1_MAIN_22AUG2016_LD1	G5R3_NF_22AUG2016_LD1	G5R4_MAIN_22AUG2016_LD1	G5R2_NF_12SEP2016_LD1	G5R2_MAIN_12SEP2016_LD1	G5R1_MAIN_12SEP2016_LD1	G5R4_NF_12SEP2016_LD1	G5R1_NF_12SEP2016_LD1	G5R3_MAIN_12SEP2016_LD1	G5R3_NF_12SEP2016_LD1	G5R4_MAIN_12SEP2016_LD1	G5R1_MAIN_03OCT2016_LD1	G5R2_NF_03OCT2016_LD1	G5R2_MAIN_03OCT2016_LD1	G5R4_MAIN_03OCT2016_LD1	G5R3_MAIN_03OCT2016_LD1	G5R1_NF_03OCT2016_LD1	G5R3_NF_03OCT2016_LD1	G5R4_NF_03OCT2016_LD1
Alanine, aspartate and glutamate metabolism	18.174779783437277	19.4400225609794	21.398057998332238	24.04574530340852	20.6734980078977	21.02814601192209	18.67704082261911	22.764842878457554	20.076391435208993	23.009795850320398	20.505699010007696	0.0	19.272432588828412	0.0	0.0	0.0	20.91063113677713	18.695234168133716	17.251911909640903	17.511617564004563	20.260771256784192	19.85032088522663	19.555928942568073	18.424849879592166	19.459670320744156	18.420662780588312	18.84148357886698	19.197655287390695	18.88626700011872	17.769618506532073	18.065063925835627	18.21251144566848	16.94460314105533	17.39255467477792	16.389765788241494	17.381471074012534	17.182902180393597	17.032332846917235	16.552094469199904	16.94311766805934	15.060418403018934	15.49936514902227	15.871046799884194	16.25690628682586	15.193231640436203	15.344697795651557	15.491771173179893	15.079050427476773	15.288818773837022	15.155486117601331	14.868925923917574	15.260486835352886	15.241790369256831	15.112639495761133	14.869931012591502	14.79462595011394	14.772984462788294	14.889169876347184	14.691711651205512	14.768822731977224	14.719795925763453	14.870241571650615	14.85486416756775	14.728980322787299
Amino sugar and nucleotide sugar metabolism	18.82611964921582	19.94283968417432	22.17895095560546	0.0	22.17831022961886	22.790312644292907	20.305358417487547	22.642900337441272	20.774633486404717	0.0	0.0	0.0	19.566792780986493	22.34761468441938	0.0	0.0	20.662863795276166	19.48411626288512	17.88438549784894	18.127351170655963	0.0	22.368274630688177	20.7617202701568	19.430259949406945	20.281212648505825	18.83095150733564	19.72069875864112	19.73314478374309	19.318680887027526	17.878647785376717	18.7830196940147	18.528213906884545	17.177302487284845	17.828504922494062	16.827352705532657	17.827667333710103	17.565373806987484	17.711067796993696	16.82216337405099	16.96960300063541	15.188954188603184	15.65944578827795	15.924195212566852	16.304828653608272	15.315513165806268	15.58237458202777	15.29260560869213	15.329313507157492	15.4931608331053	15.344281642272522	15.018578462532309	15.488202823285828	15.274243577465962	15.212448839636586	14.998999811662094	14.900638837835281	14.889136998528256	14.932196061064017	14.886985355983821	14.893653989727309	14.873254093285022	15.003412153419479	14.954712268482629	14.929738320166068
Aminoacyl-tRNA biosynthesis	18.86918656358244	19.176423432429342	22.35313912783089	23.51822187396651	20.2137421763022	21.183195399915213	19.16932501374796	21.682039239924624	20.8322541585136	0.0	22.98971510624652	22.413217272022308	18.881069705752097	0.0	0.0	0.0	19.72867666031409	19.06622260741191	17.68426452961881	17.918417497594312	21.35907098160486	20.327687016483196	19.498984617601113	17.994486454636213	19.003913483093765	18.273490279844847	18.493735709398557	19.51279797433074	19.032989497130032	17.87393732219498	18.16362927266442	18.311707748704112	16.850931443967347	17.349102119376344	16.29346342911409	17.274209666221896	16.86715339747492	17.244201445998883	16.569747886477263	16.863071945172724	14.915045402759164	15.524640535078229	15.681915975514054	16.11129071844203	15.108237102220857	15.246670053300573	15.323105333720653	15.085223731617782	15.227223403476588	15.04492373598944	14.844149690360203	15.19728068339438	15.07553589187908	15.013916569253789	14.844048391761262	14.839564308532085	14.725361295353443	14.799447522247979	14.720413449632693	14.718743451277966	14.725071989317875	14.791973533518199	14.75150873777921	14.704160686531644
Aminobenzoate degradation	17.707969524898203	0.0	24.764249650430575	0.0	0.0	21.12517743531252	19.358067697356276	0.0	22.421547215136307	0.0	0.0	0.0	19.461070937799864	0.0	0.0	0.0	21.38293311140311	18.61427417021852	17.92708048920047	17.44759434669736	0.0	19.032034503735012	19.72826732461542	19.71610866168875	20.178409184963996	20.94323942657355	20.825385206703608	24.85110261513085	20.514441444957257	21.005305653663076	18.960197713322586	19.51644668682487	17.183923788459012	18.406648801272947	16.66253655606515	17.994921024559034	17.88769662571565	17.89033331829743	17.422549341009077	17.406390094676112	15.979210636470734	15.794161769324454	16.312644234444985	16.667695440756116	15.686722985424856	16.354700572818867	15.789796829060306	15.504580372461783	15.786509917393419	15.649532974040527	15.32944184326074	15.752224941036962	15.768199815455768	15.557730770499528	15.249618180236515	15.19440870439148	15.122458266142187	15.203183694261886	15.044127505240084	15.188829154451897	15.04677604124704	15.179148643880845	15.342741330184682	15.100175566782239
Arginine and proline metabolism	18.12502917908938	19.514161821530834	22.681188115512672	22.934560082020017	20.10172136256503	20.343485447381468	19.18099495123901	23.473990400363938	20.340105839503213	0.0	21.71107872830862	0.0	19.28001030716446	22.912224512703077	22.09651947655198	0.0	19.960960269646908	18.96113472678561	17.2477039430963	17.466020304535142	22.25183100358208	20.46855721783069	19.35519766301282	18.641534676367318	19.070741765726442	18.485912106801038	18.23993754656689	19.2055504925774	18.337472969563553	18.008551074251976	18.468666407736563	17.719441968946363	17.212383393423202	17.81096840149047	16.45566556367153	17.81143992262462	17.554080608478515	17.064487164995473	16.697721726152228	16.707828487017	15.264353284216057	15.630040209895261	16.094601021166355	16.32477777334154	15.318618987307591	15.658656814378327	15.392367396903204	15.210934040446764	15.586382878901214	15.325257591326617	15.004793502318075	15.509961625228804	15.464660678110121	15.221352126560012	15.09292890261768	14.888357828970449	14.927811600477183	15.023637312530191	14.939838373868653	14.959399730632677	14.833479224752901	15.018253304343974	15.072168553462838	14.932334732840886
Ascorbate and aldarate metabolism	18.642003999685528	17.694979922579062	23.73223005190558	21.850807720370963	0.0	21.516467679897925	19.740642010969722	0.0	20.152951885012968	20.638095646051003	0.0	0.0	19.566475616335932	0.0	0.0	0.0	20.23656849091818	19.041384889510446	17.423821451255954	17.992181683656543	0.0	0.0	19.52677621940327	19.634793559125995	19.932593197622396	19.358070207198477	18.490065578421884	21.22006208282247	0.0	18.05609198542238	18.779837011243377	18.612326806553796	17.09200640856045	17.399630245573732	16.418592921427322	17.966746669282895	17.36573122926924	17.476121083566433	16.92203842484462	16.396102920599063	15.279809617398161	15.232878415888413	15.850770265233885	15.901472210004915	14.778533418281837	15.729522931327871	14.894291929485082	15.439190020808862	15.767850164829452	15.605709582057703	15.303235570880009	15.732596220985938	15.532819749649203	15.333654358919489	15.293538124535814	15.253665475688178	15.158240189002873	15.313053890141838	15.113169504512665	15.16342606748058	15.104534307534019	15.177716271345433	15.306764136020112	15.18567901475129
Atrazine degradation	17.676675805436325	19.139012348605583	0.0	0.0	20.105427787145253	19.23352204397202	21.291783767027244	0.0	18.77107146807231	0.0	0.0	0.0	17.790346064514303	0.0	0.0	0.0	0.0	17.653826656961048	16.7013445144514	16.67031106505318	0.0	18.502971412369835	19.919417522828105	19.652242247252875	19.304021285294876	19.98751905551555	0.0	18.91977873338744	20.221644034482463	17.675595671523986	18.560478064169196	18.066538882328246	17.54116636638658	18.956112421916032	16.511237909147386	16.783645429815287	16.731957128181715	16.823942185004643	16.183979543389523	17.399969437090288	15.76024909096214	16.03498293524087	16.09423696347979	17.112888579900115	15.63019559988412	16.11092963267279	16.08096571428368	15.415032904802443	15.7825814930548	15.490792599519636	15.243913609696962	15.546292269528104	15.742252861586298	15.46681927583273	15.080291277590165	14.968487927978657	15.069121951011384	15.060735095110221	14.852929546615789	14.9497387256732	14.792038643626446	14.799536373837999	15.10077579603422	14.868333549839644
Bacterial chemotaxis	18.212028036095973	0.0	21.23203640082112	0.0	0.0	20.82546051910671	22.120632295567386	0.0	17.965199287126577	0.0	0.0	0.0	18.966622818638694	0.0	0.0	0.0	0.0	19.018666569763518	17.059832788763003	17.726740738088356	0.0	19.244400904173645	0.0	18.205252236906958	0.0	19.382921434603073	18.93860457628757	19.534371667686546	18.439325568579516	17.729994616586268	20.071667503721457	18.343760064470455	16.867890327197	18.052972214316828	16.088416750510124	17.531343798914794	16.96667391776681	16.870701266277567	16.82681306958685	16.685668907970022	14.862469251519075	14.841586772395669	15.45002736510831	15.863001084438405	15.162561898394374	15.002315956408001	15.074300902867844	14.669378105429944	15.251421863889272	15.1049078602538	15.021232307938678	15.094027011277598	15.106400944178368	15.268935512147834	15.110585936864819	15.022016675634845	15.08561596670622	15.044458656144867	15.05744675773914	15.002204584583666	15.116644913687301	15.067107711445873	15.171567727521207	14.724569638839847
Base excision repair	19.329712138049327	0.0	0.0	0.0	0.0	0.0	0.0	19.35961150099182	19.14301194886231	0.0	0.0	0.0	18.17971988532638	0.0	0.0	0.0	0.0	0.0	18.371919826707753	19.226766587529735	0.0	19.65468719029631	0.0	19.218229397301602	0.0	17.596225051216916	20.680735295947137	18.691200397752077	20.563393508999262	19.37474467805474	19.047145085154398	18.50919225248243	17.298012293076063	18.002191489309155	16.263564832899494	18.935769888969357	16.89058939071034	18.15182175093674	16.23673297221607	17.76800503194291	15.135175932679058	15.367855089877311	15.351552439138505	16.17026180195863	15.260005817869294	15.221448958606414	15.200389749722778	14.938261708091295	15.314051012111925	15.345066353417884	15.266659991972535	15.327606468015855	15.369010324295651	15.365604882847125	14.956030874224632	15.199326483406622	14.993905426030624	14.897362321154054	15.015930596531232	14.919431602903027	14.935957913639601	15.008143642433339	15.07325841727678	14.772065011272765
Benzoate degradation	19.137354673765802	20.749565661385457	22.708441972951142	21.585340752217746	0.0	0.0	21.514529298201886	0.0	20.40650480875788	0.0	0.0	0.0	19.922311643893313	0.0	0.0	0.0	20.64128573127382	19.380992250443665	18.427619548128668	18.626601028154788	0.0	20.634810762856258	20.303627058759854	19.60439261069315	20.191772973565236	19.913434678414752	18.8787362655701	19.983916100882876	21.37824044512788	19.179593144263745	20.41433737475076	18.01666296774063	17.54082205826701	18.62767300006999	17.116906642836216	17.73662576992219	17.46453306497786	18.30897794376257	16.87883023900303	17.55563711012114	15.499213938645179	16.537485195185752	16.386295264298017	17.227964849191977	15.937834604348442	16.105024006835745	16.30772211692885	15.847982669557188	15.619494814622007	15.368850365375582	15.022234900970911	15.654593079868723	15.427781373465296	15.19998463275098	15.032234297239674	14.93734478927546	14.894901193667614	14.974354253018985	14.893357693110278	14.943930729339245	14.818135598877332	14.999057219681442	15.046622682717109	15.044657217289819
